epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.5699,1.93733,2.68695,1.67526,0.01417,0.85859,0.17856,0.08925,1.6576,2.90416,1.50483,0.0002,0.0002,0.0002
2,214.621,1.73705,1.71142,1.48899,0.47996,0.10101,0.24761,0.115,1.45578,2.6703,1.34853,0.000411684,0.000411684,0.000411684
3,329.238,1.69871,1.42576,1.44546,0.37544,0.23232,0.21752,0.09098,1.68288,2.51727,1.48513,0.000614656,0.000614656,0.000614656
4,430.298,1.63931,1.40021,1.47615,0.43461,0.28283,0.24288,0.12103,1.79578,2.38757,1.64062,0.000808916,0.000808916,0.000808916
5,494.815,1.59649,1.33159,1.41976,0.21493,0.26263,0.20223,0.08282,1.82008,2.66323,1.72392,0.000994464,0.000994464,0.000994464
6,556.939,1.51627,1.29267,1.39751,0.38809,0.18182,0.17814,0.07438,1.90179,3.04766,1.8548,0.0011713,0.0011713,0.0011713
7,623.341,1.53623,1.29281,1.40057,0.22298,0.71019,0.2267,0.09183,1.92242,2.54744,1.86428,0.00133942,0.00133942,0.00133942
8,697.848,1.53656,1.24797,1.39889,0.2648,0.30303,0.26109,0.11693,1.70216,2.2568,1.67145,0.00149884,0.00149884,0.00149884
9,771.277,1.512,1.23039,1.37209,0.32895,0.54545,0.35762,0.17244,1.74556,2.04114,1.78037,0.00164954,0.00164954,0.00164954
10,840.871,1.49181,1.18824,1.38319,0.41318,0.36364,0.41677,0.19861,1.72594,2.00713,1.80106,0.0016436,0.0016436,0.0016436
11,913.588,1.49772,1.17891,1.3703,0.64265,0.61616,0.56997,0.27004,1.76774,1.8241,1.88945,0.001604,0.001604,0.001604
12,983.32,1.44629,1.16422,1.38536,0.61897,0.81818,0.65044,0.32149,1.69144,1.55593,1.63242,0.0015644,0.0015644,0.0015644
13,1050.68,1.50414,1.12966,1.36341,0.71316,0.73737,0.69802,0.33233,1.68144,1.56786,1.56764,0.0015248,0.0015248,0.0015248
14,1117.47,1.43465,1.08835,1.33682,0.7792,0.85859,0.77323,0.37569,1.66366,1.44991,1.55782,0.0014852,0.0014852,0.0014852
15,1183.62,1.42927,1.12805,1.35947,0.64838,0.58586,0.58698,0.29423,1.65202,1.87656,1.6356,0.0014456,0.0014456,0.0014456
16,1249.82,1.4393,1.08544,1.33922,0.83954,0.86869,0.89517,0.48809,1.49408,1.37343,1.48941,0.001406,0.001406,0.001406
17,1319.98,1.46072,1.05453,1.3264,0.77577,0.8737,0.808,0.4233,1.57198,1.38341,1.47715,0.0013664,0.0013664,0.0013664
18,1388.44,1.42239,1.04709,1.32395,0.92466,0.86782,0.93034,0.52511,1.42901,1.20679,1.45442,0.0013268,0.0013268,0.0013268
19,1456.75,1.32875,1.06338,1.33826,0.88523,0.93497,0.92855,0.52591,1.44757,1.14003,1.42749,0.0012872,0.0012872,0.0012872
20,1527.22,1.383,1.02084,1.3185,0.87692,0.87879,0.8841,0.50133,1.40882,1.17638,1.39492,0.0012476,0.0012476,0.0012476
21,1596.61,1.36301,0.97964,1.2875,0.84722,0.83838,0.8522,0.45752,1.44452,1.21604,1.39772,0.001208,0.001208,0.001208
22,1665.03,1.38382,0.99165,1.296,0.81725,0.87879,0.87726,0.4804,1.43562,1.19738,1.41249,0.0011684,0.0011684,0.0011684
23,1732.92,1.37571,0.97167,1.29298,0.94407,0.85257,0.92367,0.53765,1.39206,1.08072,1.36961,0.0011288,0.0011288,0.0011288
